timestamp,target,hop,ip,avg_rtt
2025-11-27 01:18:30,8.8.8.8,1,192.168.68.1,126.67
2025-11-27 01:18:33,8.8.8.8,2,192.168.1.1,142.19
2025-11-27 01:18:59,8.8.8.8,5,176.52.253.97,63.59
2025-11-27 01:19:13,8.8.8.8,7,108.170.225.251,59.30
2025-11-27 01:19:15,8.8.8.8,8,142.250.46.165,50.25
2025-11-27 01:19:17,8.8.8.8,9,8.8.8.8,71.59
2025-11-27 01:24:19,8.8.8.8,1,192.168.68.1,57.41
2025-11-27 01:24:21,8.8.8.8,2,192.168.1.1,53.80
2025-11-27 01:24:47,8.8.8.8,5,176.52.253.97,109.08
2025-11-27 01:25:01,8.8.8.8,7,108.170.225.251,39.63
2025-11-27 01:25:03,8.8.8.8,8,142.250.46.165,47.67
2025-11-27 01:25:06,8.8.8.8,9,8.8.8.8,75.16
2025-11-27 01:30:08,8.8.8.8,1,192.168.68.1,43.20
2025-11-27 01:30:10,8.8.8.8,2,192.168.1.1,42.34
2025-11-27 01:30:36,8.8.8.8,5,176.52.253.97,60.51
2025-11-27 01:30:50,8.8.8.8,7,108.170.225.251,120.73
2025-11-27 01:30:52,8.8.8.8,8,142.250.46.165,45.25
2025-11-27 01:30:54,8.8.8.8,9,8.8.8.8,73.06
2025-11-27 01:35:56,8.8.8.8,1,192.168.68.1,45.96
2025-11-27 01:35:58,8.8.8.8,2,192.168.1.1,48.51
2025-11-27 01:36:24,8.8.8.8,5,176.52.253.97,63.92
2025-11-27 01:36:39,8.8.8.8,7,108.170.225.251,57.77
2025-11-27 01:36:41,8.8.8.8,8,142.250.46.165,88.39
2025-11-27 01:36:43,8.8.8.8,9,8.8.8.8,75.22
2025-11-27 01:41:45,8.8.8.8,1,192.168.68.1,43.02
2025-11-27 01:41:47,8.8.8.8,2,192.168.1.1,49.42
2025-11-27 01:42:13,8.8.8.8,5,176.52.253.97,39.67
2025-11-27 01:42:27,8.8.8.8,7,108.170.225.251,32.28
2025-11-27 01:42:29,8.8.8.8,8,142.250.46.165,28.24
2025-11-27 01:42:31,8.8.8.8,9,8.8.8.8,57.48
2025-11-27 01:47:33,8.8.8.8,1,192.168.68.1,19.86
2025-11-27 01:47:35,8.8.8.8,2,192.168.1.1,30.07
2025-11-27 01:48:02,8.8.8.8,5,176.52.253.97,14.88
2025-11-27 01:48:16,8.8.8.8,7,108.170.225.251,51.07
2025-11-27 01:48:18,8.8.8.8,8,142.250.46.165,14.74
2025-11-27 01:48:20,8.8.8.8,9,8.8.8.8,13.25
2025-11-27 01:53:22,8.8.8.8,1,192.168.68.1,4.47
2025-11-27 01:53:24,8.8.8.8,2,192.168.1.1,21.79
2025-11-27 01:53:50,8.8.8.8,5,176.52.253.97,51.62
2025-11-27 01:54:04,8.8.8.8,7,108.170.225.251,15.01
2025-11-27 01:54:06,8.8.8.8,8,142.250.46.165,16.89
2025-11-27 01:54:08,8.8.8.8,9,8.8.8.8,13.60
2025-11-27 01:59:10,8.8.8.8,1,192.168.68.1,4.61
2025-11-27 01:59:12,8.8.8.8,2,192.168.1.1,4.54
2025-11-27 01:59:38,8.8.8.8,5,176.52.253.97,15.36
2025-11-27 01:59:52,8.8.8.8,7,108.170.225.251,15.40
2025-11-27 01:59:54,8.8.8.8,8,142.250.46.165,16.73
2025-11-27 01:59:56,8.8.8.8,9,8.8.8.8,32.52
2025-11-27 02:04:58,8.8.8.8,1,192.168.68.1,4.70
2025-11-27 02:05:00,8.8.8.8,2,192.168.1.1,3.42
2025-11-27 02:05:27,8.8.8.8,5,176.52.253.97,16.55
2025-11-27 02:05:41,8.8.8.8,7,108.170.225.251,15.27
2025-11-27 02:05:43,8.8.8.8,8,142.250.46.165,15.43
2025-11-27 02:05:45,8.8.8.8,9,8.8.8.8,15.84
2025-11-27 02:10:47,8.8.8.8,1,192.168.68.1,5.33
2025-11-27 02:10:49,8.8.8.8,2,192.168.1.1,74.64
2025-11-27 02:11:15,8.8.8.8,5,176.52.253.97,14.27
2025-11-27 02:11:29,8.8.8.8,7,108.170.225.251,15.58
2025-11-27 02:11:31,8.8.8.8,8,142.250.46.165,15.80
2025-11-27 02:11:33,8.8.8.8,9,8.8.8.8,13.77
2025-11-27 02:16:35,8.8.8.8,1,192.168.68.1,4.36
2025-11-27 02:16:37,8.8.8.8,2,192.168.1.1,3.69
2025-11-27 02:17:03,8.8.8.8,5,176.52.253.97,16.68
2025-11-27 02:17:17,8.8.8.8,7,108.170.225.251,27.60
2025-11-27 02:17:19,8.8.8.8,8,142.250.46.165,17.30
2025-11-27 02:17:21,8.8.8.8,9,8.8.8.8,12.96
2025-11-27 02:22:23,8.8.8.8,1,192.168.68.1,3.00
2025-11-27 02:22:25,8.8.8.8,2,192.168.1.1,5.75
2025-11-27 02:22:52,8.8.8.8,5,176.52.253.97,14.01
2025-11-27 02:23:06,8.8.8.8,7,108.170.225.251,15.75
2025-11-27 02:23:08,8.8.8.8,8,142.250.46.165,15.05
2025-11-27 02:23:10,8.8.8.8,9,8.8.8.8,14.03
2025-11-27 02:28:12,8.8.8.8,1,192.168.68.1,4.30
2025-11-27 02:28:14,8.8.8.8,2,192.168.1.1,4.54
2025-11-27 02:28:40,8.8.8.8,5,176.52.253.97,17.17
2025-11-27 02:28:54,8.8.8.8,7,108.170.225.251,13.74
2025-11-27 02:28:56,8.8.8.8,8,142.250.46.165,21.34
2025-11-27 02:28:58,8.8.8.8,9,8.8.8.8,12.68
2025-11-27 02:34:00,8.8.8.8,1,192.168.68.1,4.55
2025-11-27 02:34:02,8.8.8.8,2,192.168.1.1,3.65
2025-11-27 02:34:28,8.8.8.8,5,176.52.253.97,13.47
2025-11-27 02:34:42,8.8.8.8,7,108.170.225.251,14.34
2025-11-27 02:34:44,8.8.8.8,8,142.250.46.165,15.97
2025-11-27 02:34:46,8.8.8.8,9,8.8.8.8,38.31
2025-11-27 02:39:49,8.8.8.8,1,192.168.68.1,5.66
2025-11-27 02:39:51,8.8.8.8,2,192.168.1.1,2.61
2025-11-27 02:40:17,8.8.8.8,5,176.52.253.97,17.27
2025-11-27 02:40:31,8.8.8.8,7,108.170.225.251,13.34
2025-11-27 02:40:33,8.8.8.8,8,142.250.46.165,14.95
2025-11-27 02:40:35,8.8.8.8,9,8.8.8.8,13.37
2025-11-27 02:45:37,8.8.8.8,1,192.168.68.1,2.96
2025-11-27 02:45:39,8.8.8.8,2,192.168.1.1,8.17
2025-11-27 02:46:05,8.8.8.8,5,176.52.253.97,13.94
2025-11-27 02:46:19,8.8.8.8,7,108.170.225.251,16.73
2025-11-27 02:46:21,8.8.8.8,8,142.250.46.165,16.24
2025-11-27 02:46:23,8.8.8.8,9,8.8.8.8,21.95
2025-11-27 02:51:25,8.8.8.8,1,192.168.68.1,4.88
2025-11-27 02:51:27,8.8.8.8,2,192.168.1.1,3.06
2025-11-27 02:51:53,8.8.8.8,5,176.52.253.97,16.18
2025-11-27 02:52:07,8.8.8.8,7,108.170.225.251,15.20
2025-11-27 02:52:09,8.8.8.8,8,142.250.46.165,14.56
2025-11-27 02:52:12,8.8.8.8,9,8.8.8.8,13.18
2025-11-27 02:57:14,8.8.8.8,1,192.168.68.1,5.41
2025-11-27 02:57:16,8.8.8.8,2,192.168.1.1,4.07
2025-11-27 02:57:42,8.8.8.8,5,176.52.253.97,17.20
2025-11-27 02:57:56,8.8.8.8,7,108.170.225.251,18.23
2025-11-27 02:57:58,8.8.8.8,8,142.250.46.165,15.48
2025-11-27 02:58:00,8.8.8.8,9,8.8.8.8,13.27
